Timestamp	How confident are you in the advice process?	In a sentence or two, say more about your confidence rating.	Complete this sentence: "An idea I have for helping all of us become more confident in the advice process is..."
6/23/2022 10:15:09	8	I’ve seen it work. Our PO uses it! 😎	Make sure you involve experts from different areas if possible (e.g. devops guy and the UX guy too!). Make sure you involve people who are passionate about the topic too & also be intentional about it.
6/23/2022 10:15:10	7	People limited themselves regardless of the process. They'll seek authority anyway	To have a feedback loop from the parties routinely skipped or ignored
6/23/2022 10:15:10	7	I see the great potential of it, but I also see a lot ways that this could go wrong or be hard to implement in a company. 	Teach people first how to give advice and how to analyse problems before implementing it in a company. 
6/23/2022 10:15:11	7	I think it is a good culture shift with worthwhile bumbd in the road, but bumps no less.	Make it a game with rules, get all teams to buy into the game, and if a team cannot make the commitment just yet, let it play out in the early adopter teams first to demo it.
6/23/2022 10:15:11	6	Trust is the key and that usually takes time to earn	Introduce incrementally -do a few POCs to get everyone comfortable with the process 
6/23/2022 10:15:11	6	This approach requires a clear vision to guide every potential decision maker. When people’s goals are at odds, decisions will be made counterproductively.	Supply a common vision and reward people accordingly for adhering to this vision.
6/23/2022 10:15:11	8	In small org. Where you know people.	Hire the right people. Don't compromise
6/23/2022 10:15:11	8	Sometime is democratic	Important to try, the next time it’s better.
6/23/2022 10:15:11	7	Do we really as a collective of advisors understand the problem and each other.	The result is written down with a comprehensive motivation
6/23/2022 10:15:11	7		Encourage knowledge sharing, trust,  and colaborarion amongst each other
6/23/2022 10:15:11	4	How to find the affected parties and experts	Pool of decision advicers instead of everyone 
6/23/2022 10:15:11	8	Given people with the right mindset I see this working. Different types of people are no issue because it'll make for a more versatile team	Try it
6/23/2022 10:15:12	8	I think this would be a great way to get a bunch of People to become a team	To make sure that it is ok to make a mistake
6/23/2022 10:15:12	8	It’s hard to say the number as the trust depends on the organisation your in. I believe that in the long term, it will work when people learn to take responsibility. Yet it’s a process and depends on the current place where the organisation is.	to make a safe environment where people are not afraid to make mistakes.
6/23/2022 10:15:13	7	More to do with lack of experience in such decision making and how it would align with all the needs. It seems to assume we are in a well oiled organization.	Increasing trust in the team / organization.
6/23/2022 10:15:14	9	I have trust in my co-workers to do the right thing. If they don’t know about the subject matter. I trust them to redirect to the relevant person.	Make is easier to reach out to other people. Reaching out for advice is hard for an introvert. 
6/23/2022 10:15:14	5	It depends how skilled the team is to derive the right decisions out of advices. Could be very beneficial or very destructive. In the best case it could speed things drastically up	
6/23/2022 10:15:14	9	We have actively started using the advice process recently and it is working well for us 	Try it in small scale
6/23/2022 10:15:15	6	Requires expertise in the team or somewhere, and in finding and communicating with all involved parties 	Acquire experience and expertise 
6/23/2022 10:15:15	7	In think it's the best solution for decision making, but it's having it's weaknesses 	
6/23/2022 10:15:15	6	Sime time I am not sure in my knowledge 	Well but can be more productivity 
6/23/2022 10:15:15	9		Must define the process of accepting an advise. If you have a defined process on who and how something is accepted then you don't have to afraid the advise.
6/23/2022 10:15:16	5	Depends entirely on the people an how much experience they have with the process	Seeing it work in my environment
6/23/2022 10:15:17	7		Just trying it and see if it works 
6/23/2022 10:15:18	7		
6/23/2022 10:15:18			First improve Trust/Respect among Teams and People as foundation. Empower the people.
6/23/2022 10:15:19	8	It works , WE have implemented something similar 	Have an comlunity to présent décision even After making it . Si pople Can learn & Can also convience to change it if it in a wrong decision 
6/23/2022 10:15:19	8	I believe no one is capable of taking right decisions only by itself. Need to get others knowledge. 	is to trace the decisions over time 
6/23/2022 10:15:19	7	I've seen it work in balanced teams	Make sure the team enjoys working together before you introduce the process, otherwise it's a recipe for disaster
6/23/2022 10:15:20	6	It will require massive culture change, culture is hard to change	Help teams identify and understand their boundaries and vision
6/23/2022 10:15:20	7	This might be a method that could work. Without knowing in advice, i wont rate it higher. But i do feel like its somethjng that could be worth a try. Hence my rating.	Trying it out in a small scale (if possible) at first. Giving small tasks and decision making responsibility to the team to try out if it works. Probably this will work and when people notice it does work, confidence might grow for the next time where you can do the same for larger tasks or decisions.
6/23/2022 10:15:20	6	This flat model of decision-making increases the overall requirements on team-members. It can result in decisions not being made. 	
6/23/2022 10:15:20	7	Confidence can‘t be gained from one day to the other. It needs to be gradually introduced in small steps. 	By introducing a blame free, safe environment where trust is being lived day by day by the management. This is probably bigger than the actual advice process itself.  
6/23/2022 10:15:20	8	If decisions are logged along with their motivations, the risk is mitigated.	Having tools and habit to record architectural decisions - during the discussion process (i.e. RFC) and after they are made (f.e. ADR). 
6/23/2022 10:15:20	6		Ask questions to understand better the problem, and get ideas from people who won’t raise their voice easily. 
6/23/2022 10:15:20	1	Skills	Effective facilitation and peerwise negotiation skills 
6/23/2022 10:15:21	7	Afraid of long lasting decision making	To introduce the agile timeboxing, so you could sat based om the information at hans we decide
6/23/2022 10:15:21	8	We already do this in some way	Experiment with it, do it to gain confidence (or lose all 😉) 
6/23/2022 10:15:22	6	Not sure if the time this requires would be worth it	Doing some easy wins, things almost everyone knows something about, then do some really niche things
6/23/2022 10:15:22	8	Give people inside the company trainings to develop expertise to be able to give advice. Instead of hiring people for these as they miss the culture and history of the company	Use domain experts from inside the teams
6/23/2022 10:15:23	8	Listen carefully to understand the main problem and try to explain in the most possibile concise way that is crafted for the person i’m speaking with	Get rid of must, it should be an implicit process to seek advice from the experts 
6/23/2022 10:15:23	8	The problems of advice over command (expertise?) still existed in the command-approach, it was just something you where "not permitted to question"	Practice it, evaluate early
6/23/2022 10:15:23	6	When more experienced people have an opinion, I think it is had to go into it if you are not 100% sure	Knowing eachother
6/23/2022 10:15:24	8	I truely belive that we have to move this way, not only for these kind of decisions, but for all. Including operationally. The old way is too reductionistic and fragile. 	...formalise the structure that supports the structure, ie. reorg so that the old autocratic structure is removed. Anyone can be experts, for example. All dependant on context. 
6/23/2022 10:15:25	8		To check a previous décision was finally right
6/23/2022 10:15:25	7	I don’t think all organizations are mature enough for it 	Say something about in which context it might work and not work. 
6/23/2022 10:15:26	7	If issues are easily definable, because of size or because of participation between dicision makers, great. Otherwise difficult.	
6/23/2022 10:15:26	7	I have faith in the competency of my colleagues and I’m considering we are alway better as a team or at least in a group.	Experiment !
6/23/2022 10:15:26	7	The advice process makes the participants feel involved and important so they are likely to do their best	To do it often
6/23/2022 10:15:26	9	Encourage people to drive, learn and look for ways to solve their problems	Seek advice for a problem or more 
6/23/2022 10:15:26	7	Giving responsibility is great, but trusting everyone and slowing down are serious concerns	just experiment! starting with low-impact projects and work your way up
6/23/2022 10:15:27	6	.	Giving feedback to each other, every day. What did you (not) appreciate about someone?
6/23/2022 10:15:27	7	I'm confident that this can work, provided there's trust in your colleagues 	Implementing a ceremony or event to facilitate the process, to get newly adopting teams or organizations of this process familiar with this concept. 
6/23/2022 10:15:27	7	I like it as process to come to the "initial draft" of the decision	An additional round of advice (or "review") after the "initial draft" of the decision has been made (review can't shoot it down based on just "flavor")
6/23/2022 10:15:28	5	Depends how sure I am about something. If I’m not sure I”ll keep quiet to save time	
6/23/2022 10:15:28	9	Not only does this solve bottlenecks. It also enables and forces those with expertise to share it. Helping to spread knowledge instead of centralizing it.	Doing it and helping others to be confident in taking time for it and making decisions this way.
6/23/2022 10:15:28	7	I think it could work for smaller companies, less for enterprises	make decisions transparent
6/23/2022 10:15:28	8	I like the idea that people can be trusted. Especially once they feel their responsibility.	to try it out and see what happens. Mistakes can always be fixed.
6/23/2022 10:15:29	7	Generally speaking, group decision is better than solo decison as it draws multiple perspectives on the whole picture	Distributed responsability
6/23/2022 10:15:30	8	I'm confident all the advice that is necessary to make a decision will be represented. I do still worry about reaching consensus when you have too many options	
6/23/2022 10:15:30	8	I wont give advice if i dont feel confident	Know each other better.
6/23/2022 10:15:30	4	I'm my context its hard because we don't have much people with the necessary expertise	Try to level up some people that have potential to give feedback 
6/23/2022 10:15:30	8	I do believe its a beautiful way to build trust in companies	Silence the/your ego’s
6/23/2022 10:15:30	5	Neutral because it’s something supposedly natural when you work as an autonomous team.	Assert as fast and as often as possible by deploying value in production
6/23/2022 10:15:30	6	i would love to take more part in taking decisions, but i am worrired to not have enough knowledge....	sharing knowledge on a regular basis
6/23/2022 10:15:31	8	I just like to talk about my opinion but some times I feel like i do it but my colleges stay silent 	Study more and you will become confident 
6/23/2022 10:15:31	3	It’s a design by committee   	
6/23/2022 10:15:31	9	I'm confident with my team members. 	New point of view, at least a different one
6/23/2022 10:15:31	4	How can I get my team out of the existing behaviour? I might try it, but I’m not comfortable with loosing decision control	To establish ADRs capturing advise from relevant stakeholders 
6/23/2022 10:15:31	8	I imagine it will work great under certain circumstances. 	realising that everyone has their own spectrum of expertise 
6/23/2022 10:15:31	8		to make it as easy as possible to approach others with random ideas and thoughts.
6/23/2022 10:15:32	3	Some dont want to make décision. Some don't really care for others' advice when making decisions. 	
6/23/2022 10:15:32	3	Advice process is a tool that wrongly used generates a lot of frustration and FOMO (Fear of missing out) for all the people involved.  Advice could guide to counsel from time to time with fixed schedules where people have spare time to process the info of those sessions.	Autonomous lead until blocking resources
6/23/2022 10:15:32	7	The teams must also be ready for the process	Defined experts and simple access to them
6/23/2022 10:15:32	3		
6/23/2022 10:15:32	8	Assuming the teams are held accountable for their decisions, I think this approach can work well.	
6/23/2022 10:15:32	6	The initiator of the decision is the one who decides how serious he/she takes the advise process. It will be different.	Guideline about the advise proces. Minimum time spend, minimum people asked, although this sounds quite forcing
6/23/2022 10:15:32	6	It is a really good process but it needs high motivated people	
6/23/2022 10:15:33	7	Learning curve, requires time/effort and dealing with potential fallout. Over time, will hopefully bolster confidence, knowledge and productivity. Requires actual experts as well.	
6/23/2022 10:15:33	8	How do you know who are the affected parties or the peiple with expertise ? It coule still fall in the control pitfalls 	
6/23/2022 10:15:33	5	It dépends on m'a y factors (skills, business and orgaization undestanding, trust, fallback process..) . 	Nothing
6/23/2022 10:15:33	4		specify the people or group of people who is the advisor group or as streering group
6/23/2022 10:15:33	4	Seems to be too simple to work well in big company  with hierarchical organization. 	
6/23/2022 10:15:33	6	Some people are naturally more confident than others, I’m not - different views, different opinions - sometimes it’s overwhelming 	Practice & experience 
6/23/2022 10:15:34	4	Too much noise due to lack of a common understanding of the problem 	Reduce noise by better communicating the business goal 
6/23/2022 10:15:34	8	The more experts the more insights you get	Giving experts everything they need to grow
6/23/2022 10:15:34	7	With the right people if could work 	
6/23/2022 10:15:34	2	Too complex to seek advice from all affected parties for every decision. Lack of documentation for the decisions taken.	Specify which kind of decisions are "up for grabs" for everyone, and which are reserved for a more "competent" group of the team.
6/23/2022 10:15:34	10	I am confident in the fast feedback loop more than the advice. With fast feedback we converge. 	Be transparent about the why and about the outcomes
6/23/2022 10:15:34	5	I think it highly depends on your company culture and the possibility to make small decisions easy to rollback instead of big decisions having massively impact on teams	Understand your problem and make it as small as possible 
6/23/2022 10:15:34	7	Individual decisions along with expert advice complement the plan end to end visibility.	Having whole picture 
6/23/2022 10:15:34	8	If you cannot deal with bad outcomes of this process, you’re most likely having bigger problems anyway. So in that sense, I’d rather have a collaborative, empowering process than a top down one.	Trying it out, see how it guess, adjust along the way.
6/23/2022 10:15:34	8	I like these conversations and am a fan of self-organized teams	being an even better good listener 
6/23/2022 10:15:35	7	I feel there's a limit to number of parties and cultural specificities on how to bring the consultation and coming to an satisfactory consensus (or not :)).	Nurturing safe communication.
6/23/2022 10:15:35	7	Idea is great but relies heavily on ppl 	
6/23/2022 10:15:36	6	I think it works under certain environments. Not always and in all cultures and organizations 	Show results of the process in critical conditions like an hospital
6/23/2022 10:15:36	6	Its success is highly dependent in which context you're applying it.	We must know in which type of cynefin domain we're operating to know how much we can rely on expertise
6/23/2022 10:15:36	8	I like that the more everyone practices giving advice, the better they’ll get at it	Practice giving advice. Think about what you would say, even if you don’t say it. Soon you’ll be confident enough to try
6/23/2022 10:15:37	7	Mostly it turns out right. Sometimes teams need to take the decision making to themselves. But other occasions need long term thinking, which leads towards someone giving the advice. I think it should be a balance	Improving depends on trust, so teambuilding will improve the way advice is spersed and effective
6/23/2022 10:15:37	8	Understanding the problem and right people to understand the proces are crucial. There is always a chance to miss some part or make a mistake.	Architecture Decision Log may help to gather past and current decisions and work on constant improvement 
6/23/2022 10:15:37	7	not always sure if my advice is implemented in a way of my thinking	try to understand the really situation 
6/23/2022 10:15:37	6	I might need to make sure that team have enough trust to do this.	to trial and error, let the team do and fail.
6/23/2022 10:15:37	8	Quiet confident because it’s from real parties.	
6/23/2022 10:15:37	6	Maybe because it can be too unclear. Maybe it needs some other rules to be improved.	Limit people number. Organise teams around context. Feel free to join or leave.
6/23/2022 10:15:38	6	confidence is self-confidence, so have to feel self-confident first	music!
6/23/2022 10:15:38	7	I can be 100 percent confident on the things I have done myself. But I’m not confident If I advice on a thing that i have not worked on.	lets do a hackathon. 
6/23/2022 10:15:38	7	Advice is mostly followed and is also the right advice most of the time in retrospect	Trust the process and know there's always a better option. FOBO is real
6/23/2022 10:15:38	7	Obviously, it depends on how much knowledge I have concerning the subject of advice. But no matter how much I know, I never feel completely confident that I have "the best" answer. I'd rather let people suggest solutions and discuss them and come with input based on my own experience and knowledge 	Don't blame
6/23/2022 10:15:39	7	On the upside on this. People are good at learning and growing if you give them a chance, and this does that at a large scale. People are people though so cant give a 10, theres always going to be problems	Give people a chance, you might be suprised
6/23/2022 10:15:39	7	Some of our choices are made only on the technical side, like we can have a silver bullet for all problems. 	Open the decision process to all roles in the enterprise.
6/23/2022 10:15:40	6	I don't belive I'll get good advice often. What about discussion?	Elevate decision making to the group level. Any group can take any decision.
6/23/2022 10:15:40	8		People seeking for advice and making the decision should be experienced themselves, so being enabled to elaborate the problem and to ask the right questions.
6/23/2022 10:15:41	10	From experience, it helps having trust and transparency between teams and people. Adding in the mix diversity improves the whole system.	Public feed of decision being made in the organization
6/23/2022 10:15:41	7	I guess it depends on the people obviously but if you have a bunch of people that are trustful I am pretty confident it will work	To help people getting involved in the process 
6/23/2022 10:15:41	9	I love it since we have been super autonomous across our many teams, but now we need some level of alignment…without loosing some level of autonomy	Create guidelines, service scaffold and tech radar that teams themselves curate, suggest and contribute to in an inner source model, which will allow them to move faster overtime…and then we can just advise them, within these set of guidelines and principles.
6/23/2022 10:15:43	5	So much people involved can block the decision making, it can take so much time for simple thing	Educate the team more
6/23/2022 10:15:43	6	The more you know, the more you know that there’s stuff you don’t know	Being insecure 
6/23/2022 10:15:44	7	It depends on having the chance to iterate(feedback loop)  on the solution. That makes me more confident 	Feedback loop
6/23/2022 10:15:45	5	I'm afraid of the risk of divergence of the architecture and design of the system while I believe moving towards a common architectural idea is important.	Understanding how a team of different people can come up with individual designs that all fit into the direction in which the architecture is evolving 
6/23/2022 10:15:45	6	it misses some guidance on accountability and decision making/logging	have clear accountability, a democratic system for decision making and decision logging
6/23/2022 10:15:46	8	We’re empowered teams that already follow this process and it has served us well for the past 2 years.	Reflecting about earlier decisions more often. What went wrong? What went well?
6/23/2022 10:15:46	9	Empowering people usually makes them more productive and happy.	try to set up a system to identify bad decisions early 
6/23/2022 10:15:48	7	I'm not really confident in the last part of the process : a decision being taken. How to empower people?	To trust the collective intelligence and power of collaboration, using techniques that make everyone express themselves about the problem
6/23/2022 10:15:49	9	Have been using a variation of the advice process without knowing it. And feel it is a quite good approach, but didn't add a 10 since nothing can be perfect. 	breaking the barrier between interdepartment communication, by some monthly short rounds to get to know the experts, stakeholders and involved parties. 
6/23/2022 10:15:50	8	Not many experts. They may not represent the users well enough + too used to old way of doing and seeing things 	More/better representation from experts.
6/23/2022 10:15:50	7	Have confidence in the proces itself. However, I still have concerns about it's implementation and what that requires.	Teach and educate teams in knowledge to decide them selves or how to find advice
6/23/2022 10:15:52	4	This process can be very fragile. Change a key player that doesn't adhere to this, and everything goes back to traditional	Focus on having fast feedback
6/23/2022 10:15:52	8	I strongly believe that teams make better decisions than individuals, and in my experience this type of process to more people being involved and heard compared a process of funneling decision through the architect(s)	That when somebody makes a decision they should at least share with theirvteam
6/23/2022 10:15:53	6	Companies that would benefit from doing probably have more urgent issues.	Encourage it, facilitate it, but don't enforce it
6/23/2022 10:15:53	8	It just provides all data you need for taking the correct decision 	That it takes more time to correct your solution if you didn’t get the advize 
6/23/2022 10:15:54	5	High turnover in teams not allowing global knowledge of the IS, thus not allowing correct identification of person to get advice from Political game, different objective between teams leading to decision good for a team bit not for the enterprise	Contextualize it to your enterprise 
6/23/2022 10:15:54	6	May require significant cultural changes 	Walk through some concrete examples of how it might work, and some counter-examples of what might go wrong.
6/23/2022 10:15:55	7	It requires alignment on who you should reach out to for advice, and there is the danger of not getting all the advice you need.  However, if a company aligns on this, I can see this working fine. It stimulates autonomy of teams.	Align on who we should teach out to for advice.
6/23/2022 10:15:56	7	Needs some more explicitness about who, by when	I would like to see that the decision making process is facilitated by a low effort and very available written down or paper like living document. 
6/23/2022 10:15:59	5	Difficult to estimate the impact in comparison to a more traditional approach.	Doing it for a small not critical project
6/23/2022 10:16:00	9	My confidence comes from knowledge how wide thinkwr I am	
6/23/2022 10:16:01	8	Overall, I feel advice process improves decision making and making good decisions, but Im only afraid that some crucial voice or crucial expert(ise) may be missing.	Have a set of „field experts” - people specializing in certain areas, so we know early who to consult.0
6/23/2022 10:16:01	6	Many voices want their say, them being experts or not	Prepare an advice and then discuss
6/23/2022 10:16:01	7	I think this is needed to keep teams up to speed. But it brings challenges to keep solutions within a vision of the company especially technology related. 	empowering people and making sure they know where to get support. 
6/23/2022 10:16:02	7	Giving people ownership will get them to step up and do their best. (Most likely)	Trying it and seeing how it goes. Coaching in the beginning, sharing knowledge and ideas. Basically giving people the tools to make better decisions 
6/23/2022 10:16:02	7	I am confident in the process but I expect that our organisation needs to gain maturity in this way of working. 	Change our organisation of teams so they will be organised on expertise that is valuable for our company. 
6/23/2022 10:16:03	6	It only works if anyone trust eachother. And everyone has the guts to bring in advice.  Everyone has to listen to eachother.	
6/23/2022 10:16:06	9	I’m in charge of advices 😜	Train them and involve them in decision making 
6/23/2022 10:16:06	3	Without experience in a specific context... I remain a healthy skeptic. What happens when we need to as a group make a decision  How does that work?	Add some way for capturing what feedback / advice went into a decision and what the outcome of the decision was
6/23/2022 10:16:09	7	It depends on the situation and the individuals. I can see it working in high trust environments, and in low trust it would highlight the reason for that lack of trust. It'll be expensive initially as you learn and make mistakes, so it all depends on if you can learn from your own mistakes. 	Taking ownership of outcomes
6/23/2022 10:16:11	1	A junior fresh from university should not be allowed to deploy directly to a space X rocket	
6/23/2022 10:16:15	6	It could really help share the decision load, but inexperienced decision makers or too opinionated decision makers/experts/affected party could reduce the quality of the decision.	A feedback opportunity on the made decisions
6/23/2022 10:16:16	6	What about the capacity of everyone to know when enter in advice process 	
6/23/2022 10:16:20	5	The process is the decision problem seen from an central architect perspective. Its also an impertinence from the hierarchy. 	Try it out. 
6/23/2022 10:16:21	7	I feel we should have a way to collectively assess the impact and reversibility of the decision. This would help everyone involved to let ‘their guard down’ for low impact decisions, speeding up the process.	See above
6/23/2022 10:16:23	7	Depends on the quality, expertiese and trustfulness of people you hire and in my context is quite high	hire good people
6/23/2022 10:16:32	5	My confidence rating is based on my low experience Level. 	Attending a couple of Sessions would improve confidence 
6/23/2022 10:16:40	3	I don't think everybody can make any décision. There is a right to make bad décisions (sh***t happens) but thrust is needed  and must be gained through time.	
6/23/2022 10:16:47	8	Advice process implies all the team, trying to find consensus. It can be wrong but it's assumed.	Check if our previous advices were good and continue the same process.
6/23/2022 10:16:49	7	Im lucky to be in a team which embraces sharing advice.	Make space for any questions regardless of how simple they may be
6/23/2022 10:19:35	7	Decentralized governance comes with a mature advice process description and knowledgeable co-workers that can take qualitative decisions. So there are a lot of enabling capabilities that need to be in place upfront. E.g. Knowledge management in the organisation becomes an important enabling capability for this to work well. 	Starting knowledge management as a capability in the organisation. 
6/23/2022 10:19:53	9	We work this way in our team + organisation. 	Make sure people get to know eachother on a private level. Makes it easier to read eachother, hence being able to "flow" togheter 
6/23/2022 10:21:30	6		Trust teams(!) to do the right thing, advice or not.
6/23/2022 10:24:17	6	We're DDD advocates in a large company pilot project, and the goal is to prove what it br8ngs. but it's my very first one that has been accepteer by tech leads and architects	Small discussion groups 
6/23/2022 10:27:54	5		be open minded, be polite, listen to others and try it
